iter	Passed	Remaining
850	10668	1867
851	10679	1855
852	10691	1842
853	10703	1829
854	10714	1816
855	10727	1804
856	10739	1791
857	10750	1779
858	10763	1766
859	10773	1753
860	10786	1741
861	10802	1729
862	10812	1716
863	10822	1703
864	10836	1691
865	10846	1678
866	10857	1665
867	10870	1653
868	10882	1640
869	10894	1627
870	10907	1615
871	10921	1603
872	10937	1591
873	10951	1578
874	10963	1566
875	10978	1553
876	10992	1541
877	11010	1529
878	11022	1517
879	11033	1504
880	11049	1492
881	11063	1480
882	11075	1467
883	11089	1455
884	11101	1442
885	11119	1430
886	11149	1420
887	11165	1408
888	11177	1395
889	11192	1383
890	11204	1370
891	11217	1358
892	11228	1345
893	11243	1333
894	11261	1321
895	11274	1308
896	11286	1295
897	11304	1284
898	11316	1271
899	11328	1258
900	11340	1246
901	11353	1233
902	11373	1221
903	11393	1209
904	11413	1198
905	11428	1185
906	11441	1173
907	11464	1161
908	11479	1149
909	11495	1136
910	11511	1124
911	11530	1112
912	11548	1100
913	11564	1088
914	11584	1076
915	11599	1063
916	11613	1051
917	11627	1038
918	11643	1026
919	11658	1013
920	11679	1001
921	11691	989
922	11705	976
923	11720	964
924	11736	951
925	11752	939
926	11767	926
927	11780	914
928	11794	901
929	11804	888
930	11816	875
931	11827	862
932	11838	850
933	11849	837
934	11860	824
935	11871	811
936	11885	799
937	11896	786
938	11907	773
939	11925	761
940	11937	748
941	11948	735
942	11966	723
943	11978	710
944	11989	697
945	11999	684
946	12010	672
947	12021	659
948	12031	646
949	12042	633
950	12053	621
951	12064	608
952	12074	595
953	12087	582
954	12099	570
955	12110	557
956	12122	544
957	12132	531
958	12144	519
959	12156	506
960	12166	493
961	12177	481
962	12189	468
963	12200	455
964	12211	442
965	12224	430
966	12235	417
967	12246	404
968	12261	392
969	12272	379
970	12282	366
971	12299	354
972	12310	341
973	12321	328
974	12336	316
975	12346	303
976	12357	290
977	12369	278
978	12380	265
979	12392	252
980	12404	240
981	12415	227
982	12425	214
983	12436	202
984	12447	189
985	12459	176
986	12470	164
987	12480	151
988	12492	138
989	12504	126
990	12516	113
991	12527	101
992	12539	88
993	12550	75
994	12564	63
995	12575	50
996	12585	37
997	12596	25
998	12608	12
999	12619	0
